username,profilepic,followers,Link,caption,comments,likes
__g4begab3__,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-19/s150x150/241452293_242749121094135_5167105734474534009_n.jpg?_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=5y0Lap2ZdgoAX_D9KdY&edm=AP_V10EBAAAA&ccb=7-4&oh=00_AT_C6GxwFBApCPW8yVZdG1fVZ1SyMYzNaSFnrrTj0sxDzA&oe=61C2B806&_nc_sid=4f375e,735,https://www.instagram.com/p/CT3u5UBrVwC/,why can’t i be you? dodododoDODODODOO,22,128
__g4begab3__,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-19/s150x150/241452293_242749121094135_5167105734474534009_n.jpg?_nc_ht=scontent-sea1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=5y0Lap2ZdgoAX8JkZhT&edm=AP_V10EBAAAA&ccb=7-4&oh=00_AT8vlIM0mwefSxxL_IpLdCJ_JPb2KV5l-WEv_DC4Pbilpw&oe=61C2B806&_nc_sid=4f375e,735,https://www.instagram.com/p/CT3s_AuLMbj/,"you can’t write if you can’t relate,",24,141
gabecoin.io,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-19/s150x150/197189312_2967739770124720_7453664180553488518_n.jpg?_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=4h5GBlzgxawAX-bxFx-&edm=AP_V10EBAAAA&ccb=7-4&oh=00_AT8xOUrzUCm6P5mwrOaW-7Ol3n3zqAn6uVVjLZPlR0Mj2w&oe=61C30815&_nc_sid=4f375e,0,https://www.instagram.com/p/CQdNRrDnyET/,ONE MISSION - ONE VISION 🚀🌕 #gabecoin #gabearmy #moon #shill,0,1
cryptotothemoon2,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=oz9BpA1PD7YAX-CQ6_G&edm=ALlQn9MBAAAA&ccb=7-4&oh=00_AT--Lr6Z8tpxIQt4aby6ovPlopgJjaAMgNYGlsKdwC5tzg&oe=61C1E14F&_nc_sid=48a2a6&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-4,314,https://www.instagram.com/p/CQR97Haiotk/,"To the moon #GABE #GABEARMY #gabearmy #dogekiller
Telegram:http://t.me/gabe_official",0,4
gabehealthfitness,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-19/s150x150/46366871_509140899597078_2614345459203833856_n.jpg?_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=20_CI5nheXkAX8JVKjq&tn=WQaRXB86RtE0fk8Z&edm=AP_V10EBAAAA&ccb=7-4&oh=00_AT9M6N8IetuKMqkgNId4GtAofqKCC7Xe-zmjtOWvJXO6aQ&oe=61C29E2C&_nc_sid=4f375e,145,https://www.instagram.com/p/Bq5jsvNhDXG/,"What do you think of it? 👇🏼 👇🏼👇🏼When I don’t have time to go the gym but I wanna have a quick session I just go to the nearest spot and do my thing. 
I will post a few street workout exercises for you guys 💪🏼
Go out and do your thing 💪🏼
www.gabefitness.com 👈🏼 #gabearmy #protein #streetworkout #workout #discuss #tbt #night #winter #cold #motivated #gym #calesthenics #fitness #fitnessmotivation #mik #ikozosseg #iphoto",4,52
gabehealthfitness,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-19/s150x150/46366871_509140899597078_2614345459203833856_n.jpg?_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=106&_nc_ohc=20_CI5nheXkAX_kQhv4&tn=vy5YEmBxeoiE0ia4&edm=AP_V10EBAAAA&ccb=7-4&oh=00_AT_3X5lzcBh-YWEnL9o3BzkXW8nY6A7mvzjvDaQ13aKkgQ&oe=61C29E2C&_nc_sid=4f375e,145,https://www.instagram.com/p/Bq4CKEQBlOg/,"Healthy breakfast: oats with peanut butter 😋

HAVE YOU TRIED THIS? 🤯

#gabearmy #havetotrythis #fitness #fitnessfood #breakfastideas #breakfast #motivation #gym #mik #ikozosseg #raspberry #oats #food #mutimiteszel #tbt #best #protein #healthyfood #healthybreakfast",1,73
gabehealthfitness,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/s150x150/46366871_509140899597078_2614345459203833856_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=20_CI5nheXkAX_6g0T9&tn=HboWQviF37ydnTyP&edm=AP_V10EBAAAA&ccb=7-4&oh=00_AT9JNrtGqcNrhd8rN_dlFBvQsl6v_J8Bv6U4K6X6O1dgmw&oe=61C29E2C&_nc_sid=4f375e,145,https://www.instagram.com/p/Bq2-ycYhhXO/,"“The journey is what brings us happiness not the destination.” -peaceful warrior 🙏

One of my favorite quotes. 
What’s yours?  write in the comments below 👇🏼 #motivation #fitness #fitnessfood #motivationquotes #mik #gym #peaceful #movies #quotes #gabearmy #write #captionideas #follow #tbt #best",0,53
welovegabe1,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-19/s150x150/39011793_1835640703181881_5125703387970535424_n.jpg?_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=947GwNzKoLMAX8Jt_H7&edm=AP_V10EBAAAA&ccb=7-4&oh=00_AT9jTLIlp0k0StmMwWghQTvYoSEv1OsZvPWokPsOnjjdsA&oe=61C385CD&_nc_sid=4f375e,32,https://www.instagram.com/p/Bmon_M6FLNR/,We met daddy gabe today. #blessed #lovelife #gabearmy #gabegang #westan #likeforlike #loml #lfl #l4l #omgpage #omgpageedit #fff,3,12
innazahara,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/s150x150/67239438_877866522596930_6839380706120957952_n.jpg?_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=102&_nc_ohc=R6lSFOX7ZVUAX8wIfm8&edm=AP_V10EBAAAA&ccb=7-4&oh=00_AT81mgFPfUYOb_-1bI7RAnIS7JdrqWBOVkbVPMgUCpU0Ww&oe=61C295C4&_nc_sid=4f375e,910,https://www.instagram.com/p/wEXbnDMaA1/,Thanks for the gift ♥ #gabearmy,0,1
garrettk161,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-19/s150x150/70452623_396810734329571_4465874962514706432_n.jpg?_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=y7hvVCfJmB8AX_27AQC&edm=AP_V10EBAAAA&ccb=7-4&oh=00_AT-mLP0t4A3LjEahSxiENjeUaAccm4rC16nbo7A-z4ClGQ&oe=61C26697&_nc_sid=4f375e,338,https://www.instagram.com/p/CShf_Ziga1g/,"first full bridger flight, super fun and my longest flight so far!
#Bozeman #speedflying #bbowlflyin",1,22
